incident_id,state,district,crime_type,year,month,day,latitude,longitude,victim_age,victim_gender,case_status,date,weekday
INC_000001,Rajasthan,District_1,Rape,2021,8,28,14.160971038668716,69.56108522234531,69,Male,Open,2021-08-28,Saturday
INC_000002,West Bengal,District_45,Theft,2018,4,11,27.242184223490117,73.50638454378168,65,Male,Under Investigation,2018-04-11,Wednesday
INC_000003,Punjab,District_13,Fraud,2019,1,5,19.92472717759383,69.12977754410547,63,Female,Closed,2019-01-05,Saturday
INC_000004,Bihar,District_4,Rape,2022,1,15,19.66978151968004,79.36251594389798,31,Male,Open,2022-01-15,Saturday
INC_000005,Kerala,District_1,Theft,2022,1,28,33.6530197586588,91.26965174908841,76,Female,Closed,2022-01-28,Friday
INC_000006,Andhra Pradesh,District_49,Rape,2023,1,18,33.971322595823324,77.8960890429739,50,Female,Open,2023-01-18,Wednesday
INC_000007,Punjab,District_40,Fraud,2022,8,2,34.36608265755399,80.88131879947264,52,Female,Closed,2022-08-02,Tuesday
INC_000008,Karnataka,District_32,Cybercrime,2023,3,22,17.102464218935793,87.59201643345573,75,Female,Closed,2023-03-22,Wednesday
INC_000009,Rajasthan,District_34,Domestic Violence,2023,6,11,28.040618569438593,82.75792803202653,56,Female,Open,2023-06-11,Sunday
INC_000010,Telangana,District_28,Burglary,2023,3,26,15.877362256956719,92.9819248946184,75,Male,Under Investigation,2023-03-26,Sunday
INC_000011,Tamil Nadu,District_31,Burglary,2021,11,25,13.527685159159045,93.11503457632693,64,Male,Closed,2021-11-25,Thursday
INC_000012,Rajasthan,District_8,Vandalism,2020,5,13,13.354341263073707,68.28741016924346,68,Female,Open,2020-05-13,Wednesday
INC_000013,Kerala,District_39,Robbery,2023,7,4,17.921121005044228,90.56334288801278,37,Female,Closed,2023-07-04,Tuesday
INC_000014,Kerala,District_26,Domestic Violence,2023,2,22,20.46877097361483,81.36127440700854,19,Male,Closed,2023-02-22,Wednesday
INC_000015,Andhra Pradesh,District_34,Assault,2020,6,7,32.09752596059698,96.67637569780624,68,Male,Under Investigation,2020-06-07,Sunday
INC_000016,Karnataka,District_3,Robbery,2018,6,11,11.476841710708651,82.01373020038761,58,Female,Closed,2018-06-11,Monday
INC_000017,West Bengal,District_12,Vandalism,2023,11,22,29.31284957445193,96.61998241626063,36,Female,Closed,2023-11-22,Wednesday
INC_000018,Andhra Pradesh,District_1,Kidnapping,2021,3,24,23.412192511489856,89.88251147496636,76,Male,Open,2021-03-24,Wednesday
INC_000019,Andhra Pradesh,District_44,Domestic Violence,2022,6,4,16.35041493760378,75.20954165378588,54,Male,Open,2022-06-04,Saturday
INC_000020,Tamil Nadu,District_5,Theft,2022,10,28,22.291767951451913,83.61345439932177,35,Female,Under Investigation,2022-10-28,Friday
INC_000021,Gujarat,District_30,Rape,2019,10,15,16.698320023533658,96.77193354487889,33,Male,Closed,2019-10-15,Tuesday
INC_000022,Karnataka,District_30,Assault,2019,5,1,25.286376701910875,92.86838762480579,21,Male,Closed,2019-05-01,Wednesday
